,Media_Source,Date,Tweets_ago,Tweet_Text,Compound,Positive,Negative,Neutral
41,@BBC,2018-07-08 08:12:00+00:00,-41,"RT @BBCFood: 7 recipes for all the gluten-free people deciding what to have to breakfast 🤷‍♀
https://t.co/vP56pf2KB1 https://t.co/zwNCvt0kKr",0.0,0.0,0.0,1.0
42,@BBC,2018-07-08 08:11:54+00:00,-42,RT @BBCBreakfast: Everyone needs this delicious dose of doggy cuteness 😍😍 https://t.co/Bq4AebzsRy,0.826,0.434,0.0,0.566
43,@BBC,2018-07-08 08:11:03+00:00,-43,RT @BBCNewsNI: Motorcycle racer William Dunlop killed in a crash at the Skerries 100 road races https://t.co/6m5CFDY1Jp https://t.co/53B15j…,-0.802,0.0,0.324,0.676
44,@BBC,2018-07-08 08:02:03+00:00,-44,😍🏝 Paradise is on our doorstep!  https://t.co/BWrCJcIzHl,0.6696,0.428,0.0,0.572
45,@BBC,2018-07-07 19:09:04+00:00,-45,'You don't look autistic' and other things not to say to people with autism. https://t.co/1GQS1Icvms,0.0,0.0,0.0,1.0
46,@BBC,2018-07-07 18:05:03+00:00,-46,"A South African woman is recovering in hospital after being discovered alive in a mortuary fridge.
👉… https://t.co/IhrhDG1W2A",0.3818,0.148,0.0,0.852
47,@BBC,2018-07-07 17:05:04+00:00,-47,The women paid to cry at the funerals of strangers. https://t.co/oF6wA0ecwI,-0.6908,0.0,0.388,0.612
48,@BBC,2018-07-07 16:03:07+00:00,-48,These are the nine TV shows you NEED to watch in July. ☀️📺🌡 https://t.co/p1pIcjGKap https://t.co/QCXpJOUav1,0.0,0.0,0.0,1.0
49,@BBC,2018-07-07 16:01:37+00:00,-49,"What a moment! ️⚽️👏

England are into the #WorldCup semi-finals for the first time since 1990. 👉… https://t.co/jCgcFi9kjg",0.0,0.0,0.0,1.0
50,@BBC,2018-07-07 15:55:59+00:00,-50,RT @BBCSport: Hey Zlatan... you owe David Beckham dinner! 😉 #ENGSWE #bbcworldcup #ThreeLions https://t.co/Kf8auWDumI,0.0,0.0,0.0,1.0
51,@BBC,2018-07-07 15:55:41+00:00,-51,"RT @BBCSport: THEY'VE DONE IT!

England have reached a #WorldCup semi-final for the first time since 1990!

FT: #SWE 0-2 #ENG 

Reaction:
📺…",0.2462,0.086,0.0,0.914
52,@BBC,2018-07-07 15:08:04+00:00,-52,🖼 How can virtual reality help visually impaired people 'see' art? https://t.co/9Ry7wblTsn,0.4019,0.213,0.0,0.787
53,@BBC,2018-07-07 13:57:03+00:00,-53,"BREAKING: News just in on the #Poldark set... 

#ENGSWE #ENG #WorldCup 

https://t.co/SXiXO99gi4",0.0,0.0,0.0,1.0
54,@BBC,2018-07-07 13:14:05+00:00,-54,😍🖼 10-year-old Kareem is an OUTSTANDING artist. https://t.co/Ip4X0w1dpc,0.694,0.403,0.0,0.597
55,@BBC,2018-07-07 12:51:07+00:00,-55,"Can the #ThreeLions go one step further? Today England face Sweden in the #WorldCup quarter-finals. #ENGSWE

Englan… https://t.co/z7uo1UoVvR",0.0,0.0,0.0,1.0
56,@BBC,2018-07-07 12:36:36+00:00,-56,"RT @BBCOne: To all the Delias out there, we hope you find your Patsy. Happy Pride! 🌈 #Pride2018 https://t.co/uBSjFODU1S",0.8516,0.383,0.0,0.617
57,@BBC,2018-07-07 12:36:04+00:00,-57,RT @bbcthree: This Amazing Human uses coffee to give homeless people a second chance. https://t.co/NkhLSn6KTB,0.7003,0.326,0.0,0.674
58,@BBC,2018-07-07 12:31:04+00:00,-58,"One. Step. Closer. ️⚽️➡️🏠

Here's what could happen if @England won the #WorldCup... 

#ENGSWE #ENG #ThreeLions

https://t.co/XXqMRopNvK",0.5719,0.188,0.0,0.812
59,@BBC,2018-07-07 12:02:02+00:00,-59,"Scientists have designed a special type of drug that helps the body eat and destroy cancerous cells.
👉… https://t.co/0kv12B5SRu",0.2023,0.223,0.147,0.63
60,@BBC,2018-07-07 11:03:09+00:00,-60,From vegetarian chilli to truffle pots: celebrate #WolrdChocolateDay in style with these recipes from @BBCFood. 😍🍫… https://t.co/mlGEbp1WII,0.5719,0.188,0.0,0.812
61,@BBC,2018-07-07 10:07:03+00:00,-61,😂 #Wimbledon has started and suddenly EVERYONE is a tennis expert. https://t.co/TYjCmdDXxP,0.0,0.0,0.0,1.0
62,@BBC,2018-07-07 09:04:06+00:00,-62,🏃🏻‍♂️ Take a #parkour tour of Glasgow with Scotland's @RobbieJGriffith. https://t.co/SlvAKocTJ2,0.0,0.0,0.0,1.0
63,@BBC,2018-07-07 08:50:30+00:00,-63,"RT @BBCSport: Stop EVERYTHING you are doing! ✋✋✋

Cancel your wedding! 👰
Don't go shopping! 🛍
The holiday can wait! ✈️
Forget that first da…",-0.5526,0.093,0.251,0.656
64,@BBC,2018-07-07 08:50:23+00:00,-64,"RT @bbceastenders: “I realised what an important story it was to tell.”
@Bonnie_Langford and @DavoodGhadami discuss the knife crime storyli…",-0.4019,0.077,0.15,0.773
65,@BBC,2018-07-07 08:38:06+00:00,-65,RT @BBCNews: Steve Ditko: Spider-Man co-creator found dead at 90 https://t.co/Epd0LTJUKP,-0.6486,0.0,0.301,0.699
66,@BBC,2018-07-07 08:03:06+00:00,-66,"Seven years after her death, these previously unseen photographs show Amy Winehouse at ease in front of her friend'… https://t.co/bYoqpBhIeV",-0.34,0.102,0.16,0.738
67,@BBC,2018-07-07 07:04:07+00:00,-67,"Yassine scavenged on the dump for eight years. Now he runs it. 

https://t.co/gUOhlrkv6P",-0.3818,0.0,0.178,0.822
68,@BBC,2018-07-06 20:03:06+00:00,-68,"😺🐾 They sweat through their paws and can't taste sweet things... 

16 things you never knew about cats 👉… https://t.co/IOfDUpm49v",-0.357,0.0,0.115,0.885
69,@BBC,2018-07-06 19:02:04+00:00,-69,"🎶 It's coming home 🎶

@Baddiel and @FrankOnTheRadio's song is sweeping the nation (again!)

Here's the story of how… https://t.co/FTaRd9YNiZ",0.0,0.0,0.0,1.0
70,@BBC,2018-07-06 18:00:25+00:00,-70,😂 How annoying is this? https://t.co/Z2vtjhPZXH,-0.4019,0.0,0.403,0.597
71,@BBC,2018-07-06 17:03:02+00:00,-71,"😲🐻 A new study reveals the hidden history of brown bears in Britain, suggesting they still roamed wild 1,500 years… https://t.co/MdvCpNLZHr",0.0,0.0,0.0,1.0
72,@BBC,2018-07-06 16:01:31+00:00,-72,"RT @BBCOne: Sherlock is ALL the goals on #InternationalKissingDay 😍
#Sherlock #BBCSherlock https://t.co/yTcpX43pg7",0.0,0.0,0.0,1.0
73,@BBC,2018-07-06 16:01:00+00:00,-73,Actual footage of me leaving the office at exactly 5pm... 👋 #FridayFeeling https://t.co/no9vchzANY,0.0,0.0,0.0,1.0
74,@BBC,2018-07-06 14:35:02+00:00,-74,"RT @BBCCiN: Thank you to everyone who got involved, fundraised and donated to BBC Children in Need last year! You have helped us to raise £…",0.4199,0.1,0.0,0.9
75,@BBC,2018-07-06 14:32:06+00:00,-75,A man had to be rescued by firefighters after he became stuck in melted tarmac in Newcastle. 😰🌡🚒… https://t.co/Vv4Gk8hhuH,0.2023,0.135,0.096,0.769
76,@BBC,2018-07-06 13:08:03+00:00,-76,RT @bbcpress: ‘Painfully funny’ bestseller #ThisIsGoingToHurt by @amateuradam to be adapted as eight-part @BBCTwo comedy-drama: https://t.c…,0.0,0.0,0.0,1.0
77,@BBC,2018-07-06 13:04:04+00:00,-77,"💵👟 A disintegrating trainer worn by Michael J Fox in the Back to the Future sequel has sold for $92,100 (£70,143).… https://t.co/NOGE8qFug2",-0.296,0.0,0.104,0.896
78,@BBC,2018-07-06 12:00:19+00:00,-78,🐝🕺🐝 We all know someone who does the wasp dance. https://t.co/IJm0eTScUS,0.0,0.0,0.0,1.0
79,@BBC,2018-07-06 11:02:07+00:00,-79,Beer glasses have been seized from a restaurant chain in Birmingham after they were found to be too small to contai… https://t.co/qzSLHjzuLO,0.0,0.0,0.0,1.0
80,@BBC,2018-07-06 09:11:30+00:00,-80,"RT @BBCBreaking: Thai cave rescue death:

- Diver named as Saman Kunan
- 'His job was to deliver oxygen, did not have enough on his way bac…",-0.1531,0.109,0.129,0.762
81,@BBC,2018-07-06 09:10:00+00:00,-81,"RT @BBCRadio2: ""I think you and @Pink are the top end of the rock and roll ladies, and keep at it!"" - @flo_tweet was truly touched by this…",0.6114,0.166,0.0,0.834
82,@BBC,2018-07-06 09:03:45+00:00,-82,"RT @BBCSport: ""I'm not David Beckham, so we're in trouble."" 

Gareth Southgate's reaction to his new-found status as a style icon. https://…",0.0,0.0,0.0,1.0
83,@BBC,2018-07-06 09:03:29+00:00,-83,"RT @CBeebiesHQ: Long before @WaffleWonderDog, we had Pippin 🐶🐶

Hands up if you remember Come Outside 🙋‍♂️🙋

#CBeebiesNostalgia 
#Throwback…",0.0,0.0,0.0,1.0
